,Genus,Site,prob,SE,df,lower.CL,upper.CL
1,Apis,BP,0.687499972169381,0.11587810501033,146,0.431065729743351,0.864645084965957
2,Bombus,BP,0.937500518690544,0.0605151305266523,146,0.660806457776435,0.99141594688395
3,Apis,E,0.625000017916139,0.121030728573795,146,0.3752510035691,0.822211967658965
4,Bombus,E,0.400000107742058,0.126491112254814,146,0.19044978604224,0.653885115180338
5,Apis,GT,0.66666667926487,0.136082762328863,146,0.37352770391686,0.870276628374575
6,Bombus,GT,0.533333377167407,0.128812237165513,146,0.291249248473831,0.760675708566778
7,Apis,K,0.625000040518106,0.171163297217808,146,0.28241920373767,0.875897869528237
8,Bombus,K,0.533333576926648,0.128812233735017,146,0.291249408475401,0.760675859683808
9,Apis,PL,0.812500201936388,0.0975780534460981,146,0.549948729564923,0.938900925505027
10,Bombus,PL,0.866666770141262,0.0877707164249927,146,0.591618518694151,0.966848243701277
11,Apis,PR,0.571428692438678,0.187043901788052,146,0.227623982358028,0.857800623559478
12,Bombus,PR,0.500000266450176,0.1581138831596,146,0.22270884995134,0.777291519049148
